"Gene","HRGeneName","NumCells.ms","NumCells.hc","NumDonors.ms","NumDonors.hc","p","or_est","log2or","negLog10p"
"ENSG00000250992","RP11",1,3,1,3,0.640594573570663,0.447833842315552,-1.15896453968484,0.193416744533107
"ENSG00000250999","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251000","AC008592",4,2,4,2,0.41104177505157,2.70137483780521,1.43369383944791,0.386114037607124
"ENSG00000251002","AE000661",8,5,5,4,0.25882282661928,2.16833485305673,1.11658756736564,0.586997424148521
"ENSG00000251007","RP11",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000251011","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251013","GAPDHP62",14,21,4,8,0.862965475777404,0.894618740597138,-0.160655114453006,0.0640065785365678
"ENSG00000251015","SLC25A30",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251017","RP11",2,0,2,0,0.181561126292028,Inf,Inf,0.74097713182864
"ENSG00000251022","THAP9",9,32,6,8,0.00618232467644803,0.368699523861173,-1.43948254155183,2.20884819087945
"ENSG00000251023","RP11",3,8,2,6,0.370834536777581,0.50223820643355,-0.993556312921523,0.43081982567789
"ENSG00000251026","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251034","RP11",12,30,4,8,0.0800841384397701,0.528529702056887,-0.919943545122181,1.09645349228303
"ENSG00000251044","CTD",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251046","ZNF969P",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000251056","ANKRD20A17P",1,4,1,3,0.400990955951105,0.33548866354622,-1.57566407755869,0.396865422454188
"ENSG00000251066","CTC",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251070","BMS1P6",4,4,3,4,0.729664769249684,1.34781200874662,0.430619285123319,0.136876622487679
"ENSG00000251072","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251087","ALG1L3P",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251102","CTBP2P4",1,1,1,1,1,1.34596893389605,0.428645111708016,0
"ENSG00000251131","CTD",4,9,4,6,0.574783586263391,0.595445653362416,-0.747958256323554,0.240495642237562
"ENSG00000251143","RP11",34,60,6,8,0.196148630226878,0.747565708313068,-0.419727702344341,0.707414720351093
"ENSG00000251148","RP11",1,2,1,2,1,0.672455000827729,-0.572490365886924,4.82163733276644e-17
"ENSG00000251158","RP11",3,4,2,3,1,1.00930279396515,0.013359052361807,0
"ENSG00000251178","OR7E21P",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251184","RP11",1,0,1,0,0.426315789473684,Inf,Inf,0.370268582074179
"ENSG00000251192","ZNF674",12,11,5,7,0.397981323940925,1.47766520742598,0.563319437076173,0.400137307573818
