"p_val","avg_logFC","pct.1","pct.2","p_val_adj","Feature","NegLogP"
0.221948900757922,-0.297327787989619,0.498,0.506,1,"ENSG00000241553-ARPC4",0.653747001555266
0.222679848116533,0.565378623662466,0.132,0.108,1,"ENSG00000158941-CCAR2",0.65231908358467
0.233609099833448,-0.313228481685551,0.57,0.489,1,"ENSG00000145495-MARCH6",0.631510244049023
0.236827276936251,-0.309450053778833,0.152,0.12,1,"ENSG00000187145-MRPS21",0.625568278551027
0.237666866820657,-0.348207591055136,0.126,0.152,1,"ENSG00000117614-SYF2",0.624031359121358
0.239443612751728,0.290873325550978,0.162,0.14,1,"ENSG00000197971-MBP",0.620796743435225
0.24190591544839,-0.291616567682959,0.496,0.413,1,"ENSG00000112081-SRSF3",0.61635351148441
0.242394626492034,-0.286303389900703,0.701,0.575,1,"ENSG00000136942-RPL35",0.615477012025244
0.243565122104257,-0.273124738742372,0.17,0.143,1,"ENSG00000189266-PNRC2",0.613384901433806
0.244315873665461,-0.362046396917268,0.131,0.15,1,"ENSG00000262967-RP11-294J22.6",0.61204831517409
0.249210575449626,-0.328425548583267,0.198,0.162,1,"ENSG00000213413-PVRIG",0.603433531988935
0.251977776642692,-0.292217587642001,0.131,0.103,1,"ENSG00000164609-SLU7",0.598637760436889
0.254934813731417,-0.273675463545675,0.431,0.386,1,"ENSG00000198160-MIER1",0.593570853510515
0.256999888087226,-0.286595214937909,0.132,0.106,1,"ENSG00000164329-PAPD4",0.590067065785868
0.257385772254719,-0.490915819703862,0.121,0.143,1,"ENSG00000075142-SRI",0.58941546365558
0.259646585481736,-0.47280105420944,0.767,0.71,1,"ENSG00000070831-CDC42",0.585617384280907
0.262298809157715,-0.468372349439406,0.177,0.199,1,"ENSG00000102580-DNAJC3",0.581203681111542
0.263866972371323,-0.373228254015536,0.169,0.192,1,"ENSG00000124214-STAU1",0.578614966030547
0.263978653472405,-0.432816522852624,0.144,0.12,1,"ENSG00000161618-ALDH16A1",0.578431190758832
0.264107052455498,0.315839819175615,0.106,0.084,1,"ENSG00000189144-ZNF573",0.578220001664668
0.268228965159459,-0.33890192189376,0.238,0.197,1,"ENSG00000139218-SCAF11",0.571494325926286
0.27575703374993,-0.565531883079993,0.107,0.128,1,"ENSG00000080815-PSEN1",0.559473401173092
0.27830363388887,-0.264216841222918,0.38,0.342,1,"ENSG00000174501-ANKRD36C",0.555481122923662
0.279172161516142,-0.548082153701865,0.41,0.423,1,"ENSG00000106144-CASP2",0.554127890857989
0.284236909686364,-0.289455489123345,0.144,0.118,1,"ENSG00000143458-GABPB2",0.546319527280111
0.285016539784386,-0.295904873825969,0.185,0.157,1,"ENSG00000055208-TAB2",0.545129936733018
0.291464038249234,-0.295172223195294,0.499,0.511,1,"ENSG00000158604-TMED4",0.535415022220151
0.292899158406731,-0.254523781042949,0.681,0.575,1,"ENSG00000158985-CDC42SE2",0.533281876184013
0.29635437827835,-0.258062430056491,0.102,0.081,1,"ENSG00000126945-HNRNPH2",0.528188652200628
0.30325257153142,-0.263337911892697,0.114,0.093,1,"ENSG00000116062-MSH6",0.518195507700728
0.304085063486235,-0.3062116613774,0.223,0.189,1,"ENSG00000129084-PSMA1",0.517004911670467
0.308995270681204,-0.250064916892152,0.179,0.15,1,"ENSG00000272742-CTB-43P18.1",0.510048167606797
0.311087994174536,0.380122749501196,0.107,0.088,1,"ENSG00000074603-DPP8",0.507116749303903
